order,train_idx,text,tag,tag_alt,note,tag_final
1,15969,"I thought it was an original story, very nicely told. I think all you people are expecting too much. I mean...it's just a made for television movie! What are you expecting? Some Great wonderful dramtic piece? I thought it was a really great story for a made for television movie....and that's my opinion.",negation,,,other
2,7919,"I saw the movie last night and I really wanted to like it. My expectations for the movie had been going up and down ever since I heard it was being made. Some days I'd see something spectacular and some days I'd be disappointed. Yet being the kind of fan I am, I had high hopes for this movie but in the end I was sorely disappointed. While I love the Richard Donner movies I didn't like their sometimes campy nature or the changes they made to Superman's character and his powers. Singer however chose to take the worst elements of the Donner movies and put them in his version. While his Lex Luthor is slightly darker he's still nothing more than a shyster, a conman and a common criminal. He's no more intelligent than when Gene Hackman played him. Kevin Spacey does his best to play Luthor well but ultimately he falls victim to shoddy writing and unremarkable dialog. His henchmen are more two dimensional than even comic book henchmen. Most of them literally have no dialog in the movie. ****SPOILERS AHEAD**** Kitty Kowalski is almost exactly the same character as Ms. Tesmacher. She seems to be as evil and cold as Lex Luthor but she proves to be just an underling who melts after seeing Superman in trouble and quite predictably betrays Luthor. The biggest disappointment in the movie was Frank Langella as Perry White. I wasn't a huge fan of the over the top Perry White in the Donner movies but at least he had a soul. He was after all said and done, a veteran reporter who cared about the truth and a good story. Langella's Perry White is nothing but a corporate stooge. He wants everyone to concentrate on the Superman related stories because they sell papers even though every other paper is doing the same thing. He doesn't care about the real stories, the real mysteries like the black out and what Lex Luthor is up to now that he's out of prison. The worst thing about Langella is that he's DULL! Some actors can be quiet and sober and yet have an undercurrent that lets you know that still waters run deep. Frank Langella is puddle. Brandon Routh is not a bad actor. He's OK but again there is not a single memorable line in the whole movie. Not the actor's fault. His movements are clearly meant to look graceful, like even the slightest movement of his fingers effects the way he flies. But it still looks choreographed and artificial. Lois Lane while badly written was surprisingly well acted by Kate Bosworth. Unfortunately, again, for a Pulitzer Prize winning journalist and writer, she is about as eloquent as any teenage on Dawson's Creek. James Marsden was my favorite actor in the whole movie, mostly because he looks more like Superman than even Routh. Without any superpowers he manages to figure out Lois Lane's message, flies a plane to the location, gets on board Luthor's yacht and rescues Lois and her son. The only moving moment in the movie is when they are all trapped pantry as it is flooding with water and the ship is sinking. You see them slowly going being immersed in the water. You know Superman's going to come by at the last moment to rescue them but still you can't help but feel sorry for them. As I said before the plot is very haphazard. Unlike Singer has said, this is not a movie about a superhero returning and trying to find his place in the world. As soon as he returns the world welcomes him back with open arms. Lois is the only one who's not happy to see him back. Even Luthor is happy to have Superman back because it gives him a chance to settle the score with the man of steel. Superman is shown to be probably one of the dumbest heroes in the universe. A big green piece of meteorite is stolen from a museum, Lex Luthor is out of prison, he now has knowledge about Superman's powers and weaknesses, and yet he's still not able to connect the dots enough to know Luthor would be using kryptonite against him. According to the movie the only thing Superman is good for is lifting really, really heavy things. The action sequences are all incredibly predictable.",mixed,sarcasm,,negation
3,4726,"Eight academy nominations? It's beyond belief. I can only think it was a very bad year - even by Hollywood standards. With Huston as director and Jack Nicholson and Kathleen Turner as leads I probably would have swallowed the bait and watched this anyway, but the Oscar nominations really sold it to me, and I feel distinctly cheated as a result. So it's a black comedy is it? Can anyone tell me where the humour is in Prizzi's Honor? It's certainly tasteless (the shooting in the head of a policeman's wife is but another supposedly comic interlude in this intended farce about mafia life) but with the exception of a joke about 'your favourite Mexican cigars' (which I imagine is an old joke for Americans who have been officially forbidden from buying anything Cuban for the last 50 years) I failed to spot anything of a comic nature - and I did try. There is a lot of Mafia cliché but cliché doesn't constitute humour in my book. Is it a romantic comedy of sorts? Never. The characters and their relationships are so completely incredible and shallow that they are on a par with Ben Afleck and Jennifer Lopez in Gigli. Is it a cleverly devised parody about the Mafia? Not in a million years. The plot is just pointlessly absurd rather than comically absurd, and it usually just has the feel of a really bad (and cheap) Mafia movie. It feels more like a homage than a parody. With one-dimensional characters and little in the way of humour written for them, the actors are left doing dodgy accents and pulling faces. Well it isn't enough; even when the face is being pulled by that master of the comic facial expression, Jack Nicholson (repleat with puffed up top lip ... now is that meant to be a parody of Brando's padded jowls in The Godfather?... Oh! Who cares?... all I know is, it isn't funny). Throw in some slow, plodding direction (this film drags on for 2 hours), some hopelessly daft and clichéd dialogue such as; ""You remember the Camora? Well we're far bigger, we'll track you down wherever you go"", and clichéd mannerisms and you'll be reaching for that fast forward button before you can say ""capiche?"". Prizzi's Honor is far from being Huston's ""masterpiece"" and is rather a very poor last work. It's definitely one work in the great director's canon that should be given a concrete overcoat and tossed into the Hudson River.",sarcasm,,,sarcasm
4,6035,"It is a great tragedy that both Richard Harris and John Derek are no longer with us. But that shouldn't blind anybody to the fact that in 1981, a pretty ugly blotch appears on both men's CVs. No doubt John Derek conceived this movie doing for his wife what 'Some Like it Hot' and 'One Million Years BC' did for Maryln Monroe and Raquel Welsh respectively, creating an iconic sex symbol for the new decade. Having run to embrace Dudley Moore on the beach in '10' Bo's reputation, an all-star cast and location filming in Sri Lanka meant that nothing could go wrong. Alas, as they say, Mortals plan and God laughs. It is said that when this film premiered in 1981, the Edgar Rice Burrows estate tried to take legal action against it. Bo Derek plays Jane Parker who sets off into turn-of-the century Africa to be reunited with her boozy, abusive Dad, Richard Harris. Daddy Parker is an explorer who has set out to find 'the Great Inland Sea' the stuff of local legend, whose existence has been poo-pooed by conventional wisdom. Harris is worth watching for a wonderfully hammy, tanked -up performance which includes singing an Irish ditty at an Indian elephant that somehow found its way into Africa (did it arrive at the same time as the Orang-Utan from Sumatra???) Furthermore, although Jane professes to despise Parker, Bo and Rich's relationship is creepily incestuous, testimony perhaps to the effects of the tropical heat. Before long, however, local legends start to circulate about a 'Great White Ape' and Jane hears the famous yodel. This is the movie's cue for Miles O'Keefe, a future B-Movie star, making a rather odd debut as the loin-clothed Lord of the Jungle. Unlike Johnny Weismuller with his pidgin English or Ron Ely who speaks the language fluently, the O'Keefe Tarzan is mute. Given some of Bo and Richie's dialog, though, this is probably not a bad thing. Harris and his caravan eventually reaches the Great Inland Sea, located atop a gigantic plateau that seems to run halfway across Africa....hang on, aren't seas, lakes and other watery places generally located in low-lying areas?? Nevermind, it is just one of many anomalies in the John Derek universe. The crew attempt to mount the cliffs and when the ropes snap, Harris roars echoing abuse at the hapless men who have plummeted to their deaths. On another occasion, Jane decides to take a nude swim by the Inland Sea, giving another occasion to see some gratuitous nudity. Out of nowhere a single male lion appears. Now lions usually travel in prides and never go near beaches but later on, Tarzan will be wrestling with a (venomous) boa constrictor. Zoology doesn't seem to have been one of John Derek's strong points..... This being a Tarzan movie, Jane becomes enchanted with the Lord of the Jungle and resolves to take his virginity. But having seen his closeness to some of those chimps, you do have to wonder...Speaking of which, it's not only the Edgar Rice Burroughs estate could have sued. It is highly probable that certain primates were on the phone to their lawyers: the chimps here make you miss Cheeta badly. Especially when they do ridiculous things like ride on the backs of elephants and clap their hands when Tarzan and Jane finally get it on! The climax of this film has Bo and Harris captured by some rather stereotypical cannibals who paint our heroine and prepare to sacrifice/eat/execute her. Suffice is to say that The Great Wooden Ape gets his girl and *SPOILER* Harris gets himself impaled on a huge elephant tusk! This doesn't stop the dying Parker from delivering a rambling monologue to Jane. As far as I am aware, the law suit from the Rice Burrows estate never materialized but 'Tarzan the Ape Man' was crucified at the box office (no kidding?) A pity. John Derek could have directed 'Tarzan the Ape Man 2' with Bo Derek and Miles O'Keefe living in domestic bliss and Dudley Moore as 'Boy.'",sarcasm,,,sarcasm
5,840,"First, it takes a full half hour to get Hackman out of jail and to start doing the job. What a waste of time, we all know Hackman is getting out to do some job for his masters, why waste almost a third of the movie on these sequences. Then Hackman stays in a hotel and the story arc again goes nowhere, simply proving to us that Hackman is under close watch and anything he says or does is know by the masters. Again, another 20 minutes. Then more wasted time showing the reunion with his wife. All of this should have taken 10-15 minutes at most simply as a set-up for the real action, intrigue and plot twists. By the time the real action gets going, I was so bored that I just wanted the movie to end. Hackman is great as usual, and the other actors as well, but this is a dud of the first magnitude.",sarcasm,,,other
6,10617,"The movie has several story lines that follow several different characters. The different story lines don't feel like one whole complete piece which makes this comedy a very incoherent one and gets even annoying to watch at times. It may sound weak and cliché but it's true; You're way better of watching the Crocodile Hunter series on the Discovery channel with Steve and Terri Irwin. It's more fun and even more hilarious than this movie is. I'm sure both cast and crew had lots of fun making this movie but the movie doesn't give us the viewers much pleasure. For a comedy it simply isn't funny enough and Steve and Terri Irwin just aren't good actors, not even when they play themselves! Their antics are simply not good enough to make an entire movie around and their scene's feel long, distracting and unnecessary and even annoying at times. The movie had quite some potential, I mean Steve Irwin is one character that in a strange way is both intriguing and hilarious to watch, so when I first heard that they were making a movie about 'the crocodile hunter' my first reaction was; brilliant! The movie however heavily suffers from its weak story and the incoherent story lines with uninteresting and unfunny characters. The movie does has a certain entertainment value, at least enough to make this movie watchable for at least once but still, I must certainly wouldn't recommend this movie. Watching this movie felt like a waste of time. Still this movie might be watchable just once, when it gets on TV, on a rainy afternoon. It does has some good moments but the story lines really completely ruin the movie and its potential. 4/10",mixed,,,other
7,4287,"since this is part 2, then compering it to part one... man that was on many places wierd... too many time jumps etc. I have to say that I was really disapointed... only someplaces little lame action... and thats it.... they could have done that better....",other,,,other
8,4840,"At the name of Pinter, every knee shall bow - especially after his Nobel Literature Prize acceptance speech which did little more than regurgitate canned, by-the-numbers, sixth-form anti-Americanism. But this is even worse; not only is it a tour-de-force of talentlessness, a superb example of how to get away with coasting on your decades-old reputation, but it also represents the butchery of a superb piece. The original Sleuth was a masterpiece of its kind. Yes, it was a theatrical confection, and it is easy to see how it's central plot device would work better on the stage than the screen, but it still worked terrifically well. This is a Michael Caine vanity piece, but let's face it, Caine is no Olivier. Not only can he not fill Larry's shoes, he couldn't even fill his bathroom slippers. The appropriately-named Caine is, after all, a distinctly average actor, whose only real recommendation, like so many British actors, is their longevity in the business. He was a good Harry Palmer, excellent in Get Carter, but that's yer lot, mate! Give this a very wide berth and stick to the superb original. This is more of a half-pinter.",sarcasm,,,sarcasm
9,18636,"I have to admit I have always found it difficult to watch an Antonioni film from start to finish at the first try, and even for this one, I ended up watching it in three parts on repeated occasions. In the end, I realised perhaps it was better that way, because it forced me to stop thinking in the usual terms of plot and just enjoy the scenes one by one.  The first part seems a lot more fragmentary, which is not a bad thing, it just requires more of an effort to follow. When it gets to the desert scenes, all efforts are repaid in full. The stunning cinematography is only a part of it, what really makes it all unforgettable is how the landscape is made into an overwhelming presence, the silence and vastness of it, the sense of sadness and freedom, the way it fuses and contrasts with the two young characters. The desert is dead, but at the same time it feels less distant and alien than the urban scenes in the first part. The dance between the airplane flying over and the girl's car makes for a series of great shots. The love scenes in the desert are simply beautiful, it is hard to imagine this kind of approach from a film of our times. There is of course something very stylish and studied about them, but at the same time they manage to express a sense of natural, spontaneous innocence that is very rare these days. It all feels loose and unscripted (thanks also to the understated acting), but that is the result of a maniacal attention to detail and form, which comes to its climax in the series of explosions at the end, a really mesmerising spectacle. It just leaves you in awe. I don't really care for some the usual objections: boring - well, yes, it is, if you want all films to follow a classic plot development and be packed with action twists, but then if all cinema was like that, that would be truly dull and sad; pretentious - maybe, but when that kind of ambitiousness is coupled with actual skills, depth, and style, pretentious is a compliment. The ""political"" criticisms make the least sense to me, I don't see the point of approaching a film like this with ideological blinders or worse, patriotic requirements. It just defeats the purpose. Perhaps it's true that, like a previous commenter remarked, Antonioni viewed these young 'hippies' and the politics of protests and riots with the police with the fascination of a foreigner, but I think that adds something rather than detracting from the film. It's not true that hippies did not exist in Italy at the time (think of the '68 protests, like in France), although they were obviously different from the American counterpart and in some ways even more militant. But his interest in this film was not narrowly political. The events seem more like a pretext for a film whose appeal has a universal, timeless quality. A special mention for the fantastic soundtrack. Amongst other things, this film, along with Easy Rider, is probably one of the main earliest precursors of the contemporary 'artsy' music video as well as the concept of a film soundtrack that would stand on its own, but unlike the former, it uses music in a much more subtle way, blending it with the landscape rather than the action.  If you want traditional narrative in a film, then don't bother. If you want to be stunned, be patient and you won't regret it.",other,,,other
10,15092,"The Shining is a weird example of adaptation: it has very little in common with the source novel, written by Stephen King, yet it is widely remembered as one of the best cinematic renditions of the horror master's work. This is due to two factors: Stanley Kubrick's masterful direction and Jack Nicholson's chilly acting. Nicholson plays Jack Torrance, a writer who accepts to take care of the Overlook Hotel in Canada during the winter period, unaffected by the gruesome stories surrounding the place: he claims a nice, isolated location is just what he needs to finish his new book. Therefore the Overlook becomes the new home of the Torrance family: Jack, his wife Wendy (Shelley Duvall) and their five-year old son Danny (Danny Lloyd). The boy in particular senses right from the beginning that something's wrong: he has been told by the cook, Dick O' Hallorann (Scatman Crothers) that he is endowed with a mysterious psychic energy, the titular Shining, which allows people like him and Dick to see flashes from the past and the future, among other things. Because of this ""gift"", the forces that inhabit the hotel immediately take an interest in Danny, even though he is quite capable of resisting them. That is not Jack's case, however, as he gets increasingly paranoid regarding his wife's affections and seeks comfort in the company of what can best be defined as ghosts, triggering a chain of insanity and dread which is very hard to break. The Shining works as a horror movie because Kubrick, though having never worked on this kind of film before, knew exactly what was effective and what wasn't, hence the larger focus on atmosphere and psychological shocks than gore and creative bloodbaths. King criticized the director for changing most of the story, omitting most of the Jack/Danny subplot (merely hinted at in the film) that led to the book's emotionally strong climax, and while his disappointment is valid, the omission was actually necessary: the novel dealt with redemption, albeit in an unconventional way, and redemption is a theme Kubrick, one of the most famous analysts of human decay, never had a soft spot for. What he is interested in is the mental, and subsequently physical, unbalance that threatens the characters, and he keeps the creepy tone even thanks to a very cold approach and expert use of the steadicam shot (Danny's encounter with two ghostly twins being the best example). Another criticism King raised was about the actors, especially Nicholson: in the writer's opinion, his trademark grin at the start of the movie seemed to indicate Jack already was insane, thus undermining the rest of the story. Now, it is true that Nicholson looks a bit goofy from the very beginning, but it is equally true that Martin Sheen (King's ideal choice for the role) probably would not have been able to deliver a performance as terrifying as Nicholson's: from the moment he starts grinning in a more unsettling way than before to the immortal ""Here's Johnny!"" scene, it is impossible to picture another actor playing that part, and even though the TV version of The Shining from 1997 isn't bad the Torrance character is indelibly linked to the One Flew over the Cuckoo's Nest star. As for Duvall and Lloyd, both add terrific support, the latter especially deserving a place alongside Harvey Stephens (The Omen's Damien) and Haley Joel Osment as cinema's great horror child icons. One might complain about Duvall being completely different from the book counterpart (blonde and beautiful) and not having much else to do but scream and run, but two things ought to be considered: a) back in 1980 the ""scream queen"" cliché wasn't one yet; b) rarely has any actress looked so genuinely terrified on camera, making the book-movie differences secondary compared to the real fear that emerges from Wendy's eyes. Irvine Welsh, the author of Trainspotting, once said there is no such thing as a completely faithful adaptation of any literary work (and he should know, given the liberties Danny Boyle took when his junkie masterpiece was brought to the screen), yet that doesn't mean the movie is necessarily bad. The Shining proves said point to perfection: very little from the novel, approximately 5%, is included in the film, but in Kubrick and Nichlolson's hands this masterclass in loose cinematic translation becomes one of the finest, most original horror pictures of all time, which really is saying something given the genre's current poor form.",other,,,other
11,12818,"I don't know how or why this film has a meager rating on IMDb. This film, accompanied by ""I am Curious: Blue"" is a masterwork. The only thing that will let you down in this film is if you don't like the process of film, don't like psychology or if you were expecting hardcore pornographic ramming. This isn't a film that you will want to watch to unwind; it's a film that you want to see like any other masterpiece, with time, attention and care. ******SUMMARIES, MAY CONTAIN A SPOILER OR TWO******* The main thing about this film is that it blends the whole film, within a film thing, but it does it in such a way that sometimes you forget that the fictions aren't real. The film is like many films in one: 1. A political documentary, about the social system in Sweden at the time. Which in a lot of ways are still relevant to today. Interviews done by a young woman named Lena. 2. A narrative about a filmmaker, Vilgot Sjoman, making a film... he deals with a relationship with his star in the film and how he should have never got involved with people he's supposed to work with. 3. The film that Vilgot is making. It's about a young woman named Lena(IE. #2), who is young and very politically active, she is making a documentary (IE. #1.). She is also a coming of age and into her sexuality, and the freedom of that. The magnificence and sheer brilliance of ""I am Curious: Yellow/Blue"" is how these three elements are cut together. In one moment you are watching an interview about politics, and the next your watching what the interviewer is doing behind the scenes but does that so well that you sometimes forget that it is the narrative. Another thing is the dynamic between ""Yellow"" and ""Blue"", which if you see one, you must see the other. ""Blue"" is not a sequel at all. I'll try to explain it best i can because to my knowledge, no other films have done it though it is a great technique. Think of ""Yellow"" as a living thing, actual events in 14 scenes. A complete tale. Think of ""Blue"" as all the things IN BETWEEN the 14 scenes in ""Yellow"" that you didn't see, that is a complete tale on it's own. Essentially they are parallel films... the same story, told in two different ways. It wasn't until i saw the first 30 minutes of ""Blue"" that i fully understood ""Yellow"" I hope this was helpful for people who are being discouraged by various influences, because this film changed the way i looked at film. thanks for your time.",other,,,other
12,209,"*Possible Spoiler* 'Return to Cabin by the Lake' is a useless movie. The acting was not good and the plot wasn't even remotely interesting. 'Cabin by the Lake' is a good TV movie. The sequel was not. Judd Nelson was very good in the first film and put a whole lot more into his character than in this. It seemed as if HE wasn't even interested in doing the sequel. His acting was good but it could have been better. I really don't want to comment on the rest of the cast because in my opinion, they're not even worth mentioning. But I'll do it. The character of Alison isn't even hardly shown in the first part of the film. All of a sudden she's the center of attention next to Stanley Caldwell. The role didn't make sense and it should have been thought out a little better. Dahlia Salem was absolutely terrible. Her acting was way below decent and the casting people should have looked for somebody else, anybody else. The director, Mike, was a confusing character. He seemed to have a purpose for being there but it didn't seem like his death was necessary. The acting for this role was good, nothing great but better than Salem's. The plot was real lousy if you think about it. Stanley, who is presumed dead, makes his way onto the set of 'Cabin by the Lake', the movie based on his script. He stumbles upon the director and in a short time, the director is dead and Stanley is running the show. Yeah, out of nowhere the crew is just going to let this stranger come into the picture and finish the film not knowing anything about him. There's some killings, not a whole lot, and the one's that are shown are ridiculous. One of the actresses on the set gets electrocuted while filming a scene. Another character gets chewed up by a motorboat. And one gets tangled up in a plant before drowning. These writers must have been hard up for excitement. I just have to say that I was not impressed with the filming of the movie. The way that it kept changing from looking low budget back to normal started to become irritating very fast. Also, the new cabin by the lake was poorly created. We aren't shown it but only in a few scenes, and the whole thing with the chain in the basement was useless. It worked in the first film only because we were shown the room a lot more, but it didn't work in this one. There were too many characters in this sequel. All of them except for a few had no reason to be there. The acting of what little is showed was really bad and...they just didn't have a purpose in this movie. All in all, 'Return to Cabin by the Lake' is a sequel picking up from where the first left off. 'Cabin by the Lake' I can take but this was just not impressive. Judd Nelson should have avoided this one and so should you. It's nothing like the first and it went entirely too slow. Nothing happened in the first hour and it continued to drag on for the second. Not to mention that the writing was horrible. Put this on only if you need some help getting to sleep. So, we see that Stanley defies death and is still alive and well. By the way he talks, it sounds like there could be a possible third installment to a movie good just by itself. Quit throwing in sequels and we may be alright! (Did the film makers not realize that they showed us how they filmed the lake scenes from the first one? They were all done in a tank. Never, never reveal the secrets of filming.)",other,,,other
