order,train_idx,text,tag,tag_alt,note,tag_final
13,23913,"""Kolchak: the Night Stalker"" is a hugely entertaining TV series in which a pushy, sarcastic, forty-something reporter is repeatedly drawn into mortal combat with supernatural (and occasionally extraterrestrial) forces. Based on a very popular pair of TV movies featuring the Kolchak character, this series died a quick death in the mid-1970s due to low ratings, but it nevertheless maintains a strong cult following today. But will the average modern-day viewer be able to dig Kolchak and his weekly clashes with the undead?  That's actually a tough question to answer fairly. Detractors of this series tend to argue that it's formulaic and hopelessly dated. On the other hand, fans argue that it's cleverly written, well-acted, and sometimes genuinely spooky. And me? I've got a foot in both camps. I thoroughly enjoyed watching all 20 episodes of Kolchak on DVD recently, though I can plainly see that the series has major flaws. I'll address the question of Kolchak being ""formula"" fiction first. Now, I think we can all agree that most TV shows have formulas - just about every episode of Columbo unfolds according to the same pattern, for example. Repetition is not necessarily a bad thing in itself; in fact, critics have long recognized that audiences often enjoy, and actively seek out, repetitive entertainment. However, the problem with Kolchak is that its formula is simply TOO rigid - it's too repetitive even by the most generous standards. In almost every episode, Kolchak investigates a murder, and figures out that it was committed by some form of monster. He tries to publish a story about said monster, but his editor Vincenzo blocks him, always on the grounds that Kolchak doesn't have sufficient evidence to support his claims that supernatural forces are at work. And, alas, Kolchak is also obstructed by the police. So, in the end, Kolchak does some independent research on the monster, figures out how to kill it... and then kills it. Without ceremony, or reward, or writing a big story about it. You can see where this ever-so-strict formula might get tiresome, right? I'm particularly mystified by Vincenzo - if Kolchak's always raving about monsters, and Vincenzo never believes it... well, then, why doesn't Vincenzo fire Kolchak, or have him committed? That's what any normal boss would do. But the series eschews such realism and prefers to keep Vincenzo and Kolchak as comical antagonists. As a result, many of their scenes together are profoundly unbelievable - though they are also quite funny. The very best episodes of Kolchak manage to vault over the limitations of this formula, however, usually because they contain some kind of unexpected twist. These select episodes are good enough that I think they're largely immune to typical criticisms of the series. Some of my favorites include:  Horror in the Heights - an episode that's noteworthy for being grimy, inventive and socially aware. Kolchak's dialog has an unusually sharp and cynical edge. Though it adheres closely to the Kolchak formula, the script (written by Hammer Studios veteran Jimmy Sangster) is remarkably literate, and it delves deeply into the monster's backstory. The Devil's Platform - a possible inspiration for the ""Omen"" films, this episode stands out to me because the villain - a very young Tom Skerritt - tempts Kolchak with a satanic contract full of goodies (and, in so doing, reveals a lot about the reporter's character.)  Firefall - this episode appears to have a bad reputation among fans, but I enjoyed it because it's got a great red herring and a really creepy, almost unstoppable-seeming monster. Though I've singled out these three episodes for praise, I'd say that most of the stories are entertaining at the very least. For my money, there are only two complete turkeys in the 20-episode run: Primal Scream, which is about monkey-men running rampant in Chicago, and the Sentry, which features the dumbest-looking creature makeup in the history of filmed entertainment (and this assessment is coming from a lifelong Doctor Who and Godzilla fan!)  On balance, then, this is a good series. A little repetitive, a little cheesy perhaps, but it has elements of greatness. Even during the weaker episodes, Darren McGavin's wonderful performance as the caustic, world-weary, endlessly funny Kolchak truly shines. He carries the series effortlessly, in a way that, for example, Sarah Michelle Gellar never managed on ""Buffy."" McGavin was one great character actor, and this series is worth watching for him alone.",other,,,other
14,17459,"""I hate those stories that begin with a funeral, but I'm afraid this one begins the day we buried George. Not that we buried him. In the interests of the environment we had him incinerated."" So speaks Elizabeth (Judi Dench), George's widow. She's led a comfortable, predictable life with George. She has two grown children and a 12-year-old grandchild. But when she was 15 and in school, in the midst of World War II, she played the sax at night in an all-girl (almost all-girl) band called The Blonde Bombshells. The 'almost"" was because the drummer was Patrick, a charming rogue who had no desire to fight and possibly be killed. With a yellow wig, a long red dress and makeup, Patrick looked almost as good as the others.  One afternoon after the funeral, Elizabeth finds herself in the attic of her home playing the sax she had put away. She used to practice, but only when George was out of the house on the golf course. Then two things happen. Her granddaughter, amazed at how good Elizabeth is, starts talking about how the Blonde Bombshells could be reunited and play at her school dance. Then Elizabeth encounters Patrick (Ian Holm), now just as much an aging oldster as Elizabeth, and just as much attracted to her as he was more than 50 years ago. (He also was attracted to all the other members of the Bombshells. The roses that would appear on his bass drum had a special meaning that attested to his affection.) Well, why not see if the other band members can be located, and why not give it a shot for a reunion performance at her granddaughter's school?  Why not? One member of the band is gaga. One is dead. One is in jail. One has found salvation with the Salvation Army. One they can find no trace of. One is last known to be in the States. One is a professional singer and has no intention of doing a school gig, even for a reunion. But one by one Elizabeth and Patrick bring together the surviving members of the Bombshells. We don't know if enough of them can be found. The rehearsals more often than not turn into off-key shambles. While they do this, we share Elizabeth's flashbacks of what life was like when she and Patrick were young in war-time London, playing in the band while the bombs were falling. As terrible as it was, it was the most exciting time of their lives. When the night of Elizabeth's granddaughter's dance arrives, of course, the Blonde Bombshells, filled with jitters and renewed friendship, blow the youngsters away. Afterwards, Elizabeth informs us that the Bombshells are continuing to play at gigs, and that she and Patrick have no plans to get married...but see nothing wrong with a little fooling around.  This is sentimental hogwash, expertly done, and not bad at all. What makes it work are the skill and charm of Judi Dench and Ian Holm. When I hear the term, ""warm-hearted comedy,"" I usually cringe unless the actors are first-rate. Dench and Holm are wonders to watch as they take something as light-weight and predictable as this script and turn it into something that charms us. Then there's the ""old broad"" gambit that's fun if you remember the old broads. Among the Blonde Bombshells are Leslie Caron, Joan Sims, Olympia Dukakis, Billie Whitelaw and Cleo Laine. Laine sings three numbers and almost over-balances the production. She is so strong and unique a jazz talent that while she's singing the program nearly becomes the Cleo Laine Show. Another attractive feature is the number of great WWII songs played in strong swing.",other,,,other
15,17143,"I could not believe the low 5.6 rating on IMDb about Johnny Dangerously at the moment I wrote this review and I thought I had to do something to promote that memorable piece of comedy as much as I can. Seriously, to get a rating so low, the people who voted must have a very limited sense of humor, not to mention a very shallow opened mind. If you don't like humorous flicks, don't watch them! Combining absurd humour, a very good storytelling, and an outstanding pace given by the multiple running gags, this movie has made its way into my DVD collection. And that is without mentioning the visual farces embedded here and there and of course, the use of ""clin d'oeils"" and ""clichés"" based on our favorite organized crime movies.  I showed this movie to a lot of people and, being introduced to it without any specific expectations (except maybe watching a comedy)- the very state of mind you should have to watch any movie in my opinion - they all liked it very much. It goes well, it's not long to watch and there are absolutely no slowing downs in the evolution of the story, which I think is really straightforward. Sure it's not perfect, some gags fall a bit short, but no movie is perfect, especially when considering other opinions that yours. That is why I rated this movie 9 out of 10. This movie is in my opinion a precursor like ""Top Secret"" and ""Spaceballs"" in the field of absurd but well-thought comedies. Which are nowadays more and more absurd while cutting down on the thought and ingeniosity side. Sometimes gags need more culture than a lot of people imagine to be understood correctly, if at all. As a final word, I would like to say : watch it for yourself, do not follow average Joe's saying and if you don't like it, then you'll know for real it was not good for your tastes, which is understandable but unlikely in my opinion.",negation,,,negation
16,11402,"I don't know what some of you are smoking, but i suspect it's potent. To call Swept Away awful would be an insult to the very concept of terribleness. The acting is hideous and i'm not picking on Madonna here, we all know she's useless, but someone should have warned everyone else that her ailment is contagious. My back literally hurts from cringing so much at poorly delivered lines. The editing is so sloppy, it beggars description. The photography and composition (which in this era, competence should be a GIVEN for any film with a budget) are astonishingly inept, even the lighting is horrid and unnatural looking. These are BASIC elements of filmmaking, if you can't get them right, you should seek another line of work. It's as contrived as a grade 3 production of Snow White, except nowhere near as well made or interesting. The original film by Lina Wertmueller is a wonderful satire and metaphor, superbly acted and written, featuring breathtaking visuals - you can practically taste the sea salt and feel the windswept sand in your hair. The sexual tension feels real and immediate...those of you who found Guy Ritchie's version deplorable, should see it, it really is one of the landmarks of world cinema. Those of you who thought the remake is some kind of masterpiece should have your heads examined.",sarcasm,,,sarcasm
17,18244,"I don't want to bore everyone by reiterating what has already been said, but this is one of the best series ever! It was a great shame when it was canceled, and I hope someone will have the good sense to pick it up and begin the series again. The good news is that it is OUT ON DVD!!!! I rushed down to the store and picked up a copy and am happy to say that it is just as good as I remembered it. Gary Cole is a wonderfully dark and creepy character, and all actors were very good. It is a shame that the network did not continue it. Shaun Cassidy, this is a masterpiece. Anyone who enjoys the genre and who has not seen it, must do so. You will not be disappointed. My daughter who was too young to view it when it was on television (she is 20) is becoming very interested, and will soon be a fan. She finds it ""very twisted"" and has enjoyed the episodes she has seen. I cannot wait to view the episodes which were not aired. This show rocks!!!!",other,,,other
18,15534,"Why the crap is this movie rated so low?! I've seen this movie over 25 times, I know EVERY line to this movie. It's obvious that I love this movie. Trey Parker and Matt Stone (creators of South Park and the new puppet masterpiece Team America) star as the main characters Joe Cooper, or Coop ""Airman"" Cooper, and Doug Remer, or ""Sir Swish."" Mainly they're just referred to as Coop and Remer throughout the movie. Right as the movie starts it reminds us of the money hungry corrupt world of overpaid sports starts, they even go as far as to make one up called ""Townsell."" I must quote this portion of the movie since it is true with some sports starts: ""And after playing for New England, San Diego, Huston, Saint Louis, a year for the Toronto Arganauts, plus one season as a greater at the Desert Inn I'm happy to finally play here in the fine city of Miami."" His agent leans over: ""Minnesota."" Let us not forget this important piece of the movie. So it starts that Coop and Remer are at a high school reunion party and realize they are still nothing as they talk to their old classmates. Outside they create the sport BASEketball after being challenged by what probably was high school basketball heroes. After shaming them the sport goes pro in about a year. During this time they manage to recruit their third team mate Squeak, which is actually a day after they invent the game. As the movie follows we find out that Coop, Remer, and Squeak are the only virtuous sports heroes left. The story follows with zany blackmail, the Milwaukee Beers cheerleaders, and humor so absurd it'll leave you crying for more. Watch it dude, it's hilarious.",other,,,other
19,1361,"Mindless dribble about the second coming of Christ in the form of a hippie and albino looking Sandra Locke. You have no idea what's happening on the screen with the irritating theme song ""Suzanne"" being played over and over throughout the movie until when ""The Second Coming of Suzanne"" is over you already know it by hard no matter how hard you try to forget the whole thing. This off-the-wall armature movie maker Logan,Jared Martin, is out to make the movie of the century but is so rude and obnoxious that none in the banking world is willing to finance his project. Planning to go on his own Logan then spots this couple at a seaside café and is fascinated with the young woman Suzanne, Sandra Locke, who reminds him of someone he knew in another life: Jesus Christ. With Logan's assistant and all around gofer Clavius, Richard Dreyfuss,somehow getting a $740,000.00 loan from the bank to finance Logan's masterpiece he starts to work on Suzanne by flattering her about her talent as an actress in order to get her interested to be in his film. This leads to Suzanne not only leaving her boyfriend artist Simon, Paul Sand, but later Simon being so depressed and feeling all alone takes a gun to his mouth and blows his brains out. The movie also has two somewhat unrelated sub-plots in it that has to do with a young autistic girl Dorothy, Kari Avalos, who's cured of her autism by Suzanne after everyone else, at the psychiatric hospital that she was committed to,failed. It's not really known what exactly Suzanne was doing at the hospital but she seemed to be some kind of orderly or volunteer there; was this supposed to show us in the audience that she, like Jesus, could miraculously heal the sick? There's also this newspaper columnist and big time businessman tycoon Jackson Sinclair, Gene Barry, who seems to be either going through a very difficult mid-life crisis or has seen a biblical-like vision that changed his life forever. Sinclair had been searching for the meaning of life as well as what it's all about all through the movie and wanted to know why there's all this suffering in the world, like this movie that he's in, and seemed to have found the answer when he first laid his eyes on Suzanne. Sinclair also got some sense knocked into his head when his private chauffeur David, Mark Rasmusser, who's gotten sick and tired of his weird and crazy hallucinations almost running him off a cliff in a kamikaze like drive along the Pacific Coast. The movie ""The Second Coming of Suzanne"" goes on with a number of unrelated sequences, probably to fill or pad in some time by it's director and film editor, and then goes to it's final scene in a Christ-like crucification on a hill as Logan has all the cameras rolling. It turns out that the crazed Logan got so carried away with his masterpiece as he tried to replicate, on the helpless and tied up Suzanne, the actual crucification of Jesus Christ some 2,000 years ago. Hard to sit through and almost impossible to follow ""The Second Coming of Suzanne"" puts you through the same kind torture that Suzanne is put through by Logan and the makers of the film. The movie tries to be arty but that's just an excuse to cover up it's brainless and non-existent storyline and even worse the terrible and amateurish acting by everyone in it.",other,,,other
20,14629,"Sure, 65 years have passed since Thalberg's last production was filmed. But fellow IMDB members, come on, this movie is surely one of the masterpieces of the 30's! It is a 10. This was the first movie I saw at New York's Museum of Modern Art, around 1970 (I was a teenager). Expensive looking yet with scenes of such poverty, masterfully photographed, often thrilling, and always engaging, to me it was MGM movie-making at its best. What did audiences feel when they glimpsed a locust attack, the person by person destruction of a mansion, the horrific poverty and then the splendor of wealth. Last week, those watching the Academy Awards had a glimpse of the ""senior"" Oscar winner in attendance, Luise Rainer. How grand to see an actress who arguably delivered one of the most masterful, haunting performances in history electing to return for a celebration. Ok, so she should not have won the year before (Great Ziegfeld), but don't blame Luise. Talkies were only a decade old when this was released, and her dialogue limited. But as Olan, her use of visual and vocal is memorable. Large scale and touching, what more could a movie lover want!",other,,,other
21,4000,"There is one really good scene in Faat Kine. The title character gets in an argument with another woman and after being threatened, Faat Kine sprays her in the face. The scene works because the act is so unexpected, bizarre, and rather funny at the same time. In that one instance, writer/director Ousmane Sembene gives the audience a character that is easy to root for, an interesting film character that could be worth watching for two hours. In the scene, he presents a brave woman who is bold in her actions. For the rest of the movie, the only other thing he seems to present is conflicting tones.  The tone is all over the place. It's true not all movies have to clearly fit within a specific genre, but I don't think Faat Kine fits into any genre. Supposedly, it's a drama, though there are moments of such broad comedy (the aforementioned spraying in the face) that it cannot be taken seriously. On the other hand, the film is certainly not a comedy with the abundant amount of serious topics Sembene has crammed into the picture. There is a way to successfully mix comedy and drama together. Unfortunately, Semebene doesn't find that balance. Instead, one scene after another just drift into each other without much rhyme or reason, leaving two different tones hanging in the wind.  Faat Kine also has the problem of running two hours long with an extremely drawn out finale. The film ends with a big party where all the characters' conflicts are resolved, only they aren't resolved quickly. The scene lasts longer than any other scene, going on for probably twenty minutes. Because the rest of the scenes up until this point have been meandering, the finale is particularly hard to endure with repetition beginning early on in the scene, making for a frustrating viewing experience. Perhaps I am being too hard on Faat Kine. I am not the right audience for it. I felt nothing towards the characters and had no connection to any part of the story. There are people who will probably find something meaningful in the story and see strong characters. However, I was unable to do so and thus cannot recommend it.",mixed,,,mixed
22,10866,"A splendid example of how Hollywood could (and still can) take a masterpiece of literary fiction and stupidly foul it up. In the case of ""the Big Sky,"" writer Dudley Nichols and company arrogantly assumed they could improve upon a classic pioneer novel by the Pulitzer prize-winning author, A.B. Guthrie. In so doing, they removed the soul of the story and any edge and impact it may have had as a film adaptation. The epic nature of Guthrie's book and the evolution of its main character, Boone Caudill, from a naive, Kentucky lad into a hardened and competent survivor/mountain man, has been replaced with a downscaled riverboat farce that bears little resemblance to the author's intent. In the movie version, Boone's presence is nothing except underwhelming. Intriguing and even shocking plot elements that give Guthrie's novel impact and excitement have been removed for no apparent reason whatsoever. Most puzzling of all is the emphasis placed upon the Zeb Calloway character, who was an incidental, minor character in the book, only occupying a handful of pages. On the other hand, a very important and fascinating character, Dick Summers, the veteran pioneer, is missing altogether!!! It is also apparent that director Hawks decided the Zeb character in the movie, played by actor Hunnicutt, wasn't irritating enough. So Zeb/Hunnicutt was given a significant amount of time doing that obnoxious, voice-over narration that is the Hollywood short cut for incompetent screen writing, editing, and direction. Some movies have actually improved upon the books upon which they were based (William Wyler's ""Ben-Hur"" is an excellent example). But this is horrible and depressing not only as an adaptation of a novel but as a film unto itself. The story is dull and clichéd, and the characters - at least the ones that have not been edited out of the script - are just shallow and boring shadows of Guthrie's literary vision. And unfortunately, Kirk Douglas' star appeal, which could have helped lift this film, was scuttled by the milktoast role he was given. If you can believe it, the film version of Guthrie's Pulitzer prize-winning sequel, ""The Way West,"" also starring Kirk, is even worse. In my opinion, ""The Big Sky"" further solidifies Howard Hawks' place as one of the most overrated, tepid directors in the history of cinema.",negation,,,sarcasm
23,9124,"It is cheese. If all you want is a video game, complete with what look like straight-from-the-computer cutaway sequences for action the film was too cheap to actually make special effects for, this is it. My friend and I actually had a great time seeing it, since the theatre was mostly empty and we could heckle a bit. This movie REALLY requires heckling. Plot? There was a plot? OK, some stupid college or later types get invited to ""the rave of the year"" and go to one of the San Juan Islands (""If they'd only stayed back in Seattle, they would have survived."" - direct quote, or nearly.) to attend. They get there and everyone is gone, and the site is somewhat wrecked (but hey, the keg is still full!). With the help of a crusty old captain and a coast guard woman (who acted only slightly less tough - and slightly less well - than Cynthia Rothrock), they fight lots of zombies (some which spit acid), get an earful of freaky legends, and mostly get killed. That's about it. It's not quite as BAD as Demonicus, but not by much, and still better than Severed (they are sort of my own personal alpha and omega for bad movies - the former is bad but fun to heckle, and the latter is just too freaking bad to watch more than once). On the other hand, if you're expecting a video game movie as excellent as Resident Evil, run away!!! run away now!!! OK, some real big questions (without too many spoilers): Since when did Spanish ships of the 18th century venture into the Pacific Northwest????? Why is anyone in the Pacific Northwest smuggling guns, and to whom - CANADA, for crying out loud??? Why is a rave on an unnamed (oh, excuse me, it's called ""isla del muerto"", shya, right) San Juan Island - and outdoors, still keeping in mind this is THE PACIFIC NORTHWET. And the rave has about 30 people in attendance - ""the rave of the year,"" my patoot. Lucky thing there's lots of hatchets around. Lots of them. Everyone has them. Must be a hatchet sales outlet nearby. Finally, while the movie started out playing with a little ""parody"" (with nudges at I Know What You Did and Jaws), it didn't carry it through near enough. OK, really finally - when the introductory comments (in a voice-over, no less) casually mention that one of the characters ""gave up her boyfriend to focus on her fencing"" you can be darn sure there'll be some fencing by the end of the movie. Not GOOD fencing, but a couple of people hacking at each other with swords, anyway.",sarcasm,negation,,sarcasm
24,17596,"Hardly a masterpiece. Not so well written. Beautiful cinematography i think not. This movie wasn't too terrible but it wasn't that much better than average. The main story dealing with highly immoral teens should have focused more on the forbidden romance and why this was... should have really gotten into it instead of scraping the surface with basically ""because mom says we can't."" Some parts should have been dropped altogether or reworked to have more importance to the plight of the two main characters. Couple times i was wondering if the writer/director was a fan of George Lucas' classic American Graffiti. Not that it's wrong to be a fan of that movie but to make your movie at times look like that, i mean come on! Worst part of this was that Madchen Amick had such a small part, i mean double come on!! She was the only one, in one or two lines, who actually tried a southern accent. (Take a good listen, it was there even though her character was from California! DOH!!) Maybe if she was the star others could have followed and we would have had a more authentically sounding movie. Oh well, what can ya do when you have a director who's just a director and not an artist, also. Too bad. Overall i give this a B- and that's being a little generous 'cause i'm partial to Ms. Amick.",negation,sarcasm,,negation
25,21360,"The Intruder (L'Intrus), a film directed by French director Clair Denis, is the liberation of film. It follows its own spirit across time, space, and character. There may be a plot, but what I understood of that I picked up from the description on the Netflix DVD sleeve. Honestly, it's probably better to know nothing about the film before watching it, because then the viewer can set aside any and all expectations. The film demands that the viewer think, but also taunts the fact that he or she will not gain full understanding.  The human heart is the film's enigma. Every image questions its role, its nature, and its form. The heart is the intruder, that of the viewer and that of Louis. Louis' character is played by Michel Subor with the peace and mystery required by such a character. Honestly, anyone could've played Louis' character, if he or she possessed a wandering, willing, and comfortable heart. Yet Subor is the one featured here; he becomes the film, his identity is inseparable from it. Many of the film's images lingering in my mind revolve around his expressions, vocal but mainly physical.  The Intruder is poetic in its ability to capture the stillness and fullness of movement, but more fluid than any literature in the shape it refuses to take. ""Surrealistic"" has been a term used in describing this film, but perhaps ""quasirealistic"" is a more adequate term. Nothing in the film exists outside of the possibilities of reality; the simple omnipresent score confirms that by imagining in music the connection between heartbeat and dim light.  Watch the trailer a few times if you're attracted to visual imagery; see the film to see the consequences of the combination of verse and a grasping for freedom.",other,,,other
26,9003,"I really wanted to like this film, but so much of it is stolen/borrowed from other work -- some of the borrowing is painfully blatant. The New York Times' review pointed out that their singing frog is awfully reminiscent of the one in the famous Warner Brothers' cartoon ('Hello my baby, hello my darlin', hello my ragtime gal...'). But I challenge anyone to watch the Fox/Blue Sky animated feature Robots (2005) and not find ridiculous similarities in: storyline - A young inventor growing up, and a single innovative corporation distributes all great inventions. cityscape - Extremely similar camera angles capture extremely similar futuristic city environments. ...robots... - The servant robot in the Robinson household has a very similar design to those in Robots, and both films use a sort of retro-futuristic look. All of this seems to be in sharp contradiction to the obnoxious quote from Disney at the end, implying that the company has been a steady innovator who never looks back (which also contradicts their entire catalog of films in the 90s that were pretty much clones of each other, with some minor tweaks to storyline and ethnicity). The filmmakers seem unable to let the story speak on its own, and instead constantly send objects and noises flying in our direction, as though we don't have the attention span for anything less. The villain is really well-designed and brilliantly animated, and he's a pleasure to watch. Much of the rest of the film seems thrown-together. Some of the landscapes look like CGI from the mid-90s. The film actually opens with a classic Mickey Mouse short. By the end of this cartoon, we are reminded that Disney never did have much interest in innovating or good storytelling -- they seem to think that simply getting something up on the big screen is proof enough of their virtue.",mixed,,,mixed
27,912,"I found it very very difficulty to watch this after the initial 5 minutes of the film. I managed to stomach 45-50 minutes before switching it off in disgust and watching Monster House instead (which, by the way, is great fun). The story has massive holes in it. The plot line is hugely over stated and dull, the acting is awful, especially from Justin TImberlake who should really stick to what he is good at (looking daft and singing like a castrato). Morgan Freeman looked incredibly uncomfortable, especially when made to dance around to rock music for no apparent reason half way through the film after him and Timberlake meet. Freeman and Timberlake's characters seem to be supposed to have some sort of father/son relationship of sorts or something, which simply isn't evident at all apart from the fact that; though Freeman's character seems to have nothing but contempt for the ignorant and rather stupid character of Timberlake, he never the less pulls out all the stops to help him uncover a completely ridiculous cover up. It would take some incredible suspension of disbelief to give any credit to the story line, which is simply absurd and blown out of all proportion. Don't watch this film, it is a pure waste of time.",other,,,other
28,24446,"Thanks Jymn Magon, for creating Disney's 2 best cartoons ever. This show has improved very much over the years. As a kid, I didn't like it because I thought it was a rip-off of Ducktales, which was my favorite Disney thing at the time (like Grandmoffromero). Then later on though it was good but not great. But after reading the reviews here, I decided to give it another chance & bought the DVD set & watched the whole pilot the first day I got it, & was very pleasantly surprised. It's still my favorite episode, although the series did live up to it. And by the end of disc 1, I knew this was going to be a top tenner. The characters are so complex & charming. My favorite has got to be Wildcat. He's absolutely hilarious and sweet to boot. My next favorite is Baloo, the best pilot on the show. I can see why 'ol Jymn built the show around him. Then it's Kit Cloudkicker. He & Baloo have the best relationship in the series. After that, Louie. Jim Cummings did a perfect job of impersonating the original voice. After him, Rebecca. She has made me laugh pretty hard, and I do believe she and Baloo eventually marry. And finally(for the heroes), Molly. Although she's my least favorite, I still like her. I think she's a very cute character(much better than Webby from Ducktales). And the villains were very original. Don Karnage & his air pirates always crack me up, Kahn is ice-cold and ruthless, and the Thembrians are always at least amusing. As said before, the stories range from hilarious(Time Waits For No Bear, Romance of Red Chimp) to nothing short of touching(The Old Man & the Seaduck, Paradise Lost), to fun, funny & exciting adventures(In Search of Ancient Blunders & my favorite For Whom the Bell Klangs). These are only a few of my favorite episodes. Anyway, Talespin is Disney's best, aside from Gummi Bears Some reasons for this? GB had a decent amount of my favorite character(Cubbi), while TS didn't have enough of Wildcat. But in the end Talespin remains a classic. BOTTOM LINE- 10/10 6th best cartoon ever.",other,,,other
29,18856,"Welcome to Collinwood is a lot of things, but it is none of the following: A George Clooney star vehicle Unfunny Un-Original And yes i know, the basis for the movie is another movie. But as far as Hollywood goes, this may rank with their most authentic outputs this decade - and for me, it does. The movie is from start to finish, an absolute gas. Here's why. There isn't a bad performance in the film. The funny parts are funny. The edgy parts are edgy. The script contains, not a dull moment of dialogue The cinematography is fresh and yes beautiful. And it doesn't conform to the Hollywood norm (you'll see what i mean, when you see the film) When i was a kid, i remember seeing advertisements for the film. This film went under the radar after not grossing much at the box office, and isn't even a cult classic. The reason why Transformers 2, is seen as acceptable by average movie goers, is because they are used to seeing Transformers 2. If film's as original and funny as this were pumped out as often as multi-million pieces of s**t, the cinematic experience would be a much fresher place -  When 'they' say they don't make em like they used to, 'they' didn't see Welcome to Collinwood. A fun, mini-masterpiece of caper comedy, that refuses to compromise. One of my favourites.",negation,,,negation
30,23206,"This movie will always be a Broadway and Movie classic, as long as there are still people who sing, dance, and act.",other,,,other
31,2516,"i was disappointed. the film was a bit predictable and did not live up to the hype plastered all over the box. Having said that, the characters were well developed, the windego myth was used in a unique premise and the house was pretty spooky but it just missed for me. I kept waiting for that big AHHHHH or BOO! But it never came. Furthermore the movie was plagued with poor filming of poor special effects. Thus showing to much of a bad thing and not using atmosphere and viewer imagination to create the horror and suspense. Try movies like Session 9 or the Cube if your looking for a low-budget but well conceived horror movie.",mixed,,,mixed
32,5215,"The worst movie in the history of cinema. I don't know if it was trying to be funny or sad, poignant or droll, but the end result was unwatchable. Everyone from Key Grip, to Robin Williams, and back down to Best Boy should be ashamed to be a part of this film!",other,,,other
